Machine number;Part number;Part name
62904;4212350809;DELTA PT Schraube 40x12
62903;6002198819;
62903;6327449809;ALtracs Plus Schraube AP 40x12
62914;4212580804;DELTA PT Schraube 40x17,1-EC1
62905;4201213809;DELTA  PT Schraube 70x16
62915;4014767806;PT Schraube K50x14
62915;4211825806;DELTA  PT Schraube 50x32
62912;6397131329;ALtracs Plus Schraube AP 40x23/10
62905;6317265809;ALtracs Plus Schraube AP 50x16/15
62912;4211195801;DELTA PT Schraube  40x10
62914;6001971806;Metrische Schraube M3x8-10.9
62914;4212609809;DELTA PT Schraube 30x8
62912;6001805811;Metrische Schraube M4x18-CH-8.8-H
62916;4212718804;DELTA PT Schraube 40x16-EC1
62905;6397209809;ALtracs Plus Schraube AP 80x27/23
62915;6327055809;ALtracs Plus Schraube AP 50x9
62916;4220947809;DELTA PT Schraube 40x14
62914;6327418809;ALtracs Plus Schraube AP 30x26/7
62912;6000807811;Metrische Schraube M3,5x29-8.8
62912;6327696809;ALtracs Plus Schraube AP 40x16/12
62905;4260209809;DELTA PT Schraube 70x24
62906;4013586809;PT Schraube K40x14
62909;4212351809;DELTA PT Schraube 40x16
62914;4211211809;DELTA PT Schraube 30x8
62905;4014823809;PT Schraube K60x25
62909;6397508809;ALtracs Plus Schraube AP 40x12/10
62925;6397228801;ALtracs Plus Schraube AP 60x14
62912;5000183601;ST 4,2x29,7-C-H
62916;6002120320;Metrische Schraube A M4x10-CH-EC1
62912;6000546601;Metrische Schraube M4x13
62912;4260170809;DELTA  PT Schraube 40x22
62916;4212233809;DELTA PT Schraube 30x10
62904;6307171809;ALTracs Plus Schraube 60x13
62912;4211887809;DELTA PT Schraube 40x14
62906;4212353809;DELTA PT Schraube 40x14
62905;6307067809;ALtracs Plus Schraube AP100x22
62916;4011003803;PT Schraube K40x20
62912;4211842801;DELTA  PT Schraube 40x10,5
62903;6327702809;ALtracs Plus Schraube AP 50x14/12
62909;4221410809;DELTA PT Schraube 40x14
62904;6404111601;SHEETtracs Sonderschraube 60x18
62906;6500215809;Spiralform Schraube SF M4x8-K
62904;4013168809;PT Schraube K60x18
62901;4230541801;DELTA PT Schraube 40x16
62914;4212338809;DELTA PT Schraube 30x12
62904;6414028601;SHEETtracs Schraube WN5251 60x12
